ngram,size,n
responsible manner,2,37
revenue officers,2,37
reverse triangular merger,3,37
sell property,2,37
sells exchanges,2,37
separate asset,2,37
separate set,2,37
shareholders partners,2,37
single item,2,37
single undertaking,2,37
specifically identify,2,37
spouse dies,2,37
standard cost,2,37
stated rate,2,37
stock disposed,2,37
subdivision vi,2,37
substantial rehabilitation,2,37
substantially equal periodic payments,4,37
tax attaches,2,37
taxes including,2,37
taxpayer including,2,37
term payor,2,37
terminal services,2,37
testamentary power,2,37
toll telephone,2,37
transaction occurred,2,37
trust treated,2,37
u.s middleman,2,37
u.s resident,2,37
uncontrolled price method,3,37
unit retain certificate,3,37
upper tier partnership's,3,37
vice president,2,37
zone academy,2,37
1.3 1.1,2,36
1.5 1.3 1.2 1.0,4,36
10.6 10.6 10.6,3,36
1954 68a,2,36
1987 1988,2,36
2.1 1.9 1.7 1.5 1.3,5,36
2.3 2.1 1.9 1.7 1.5,5,36
2007 foreign,2,36
"25,000 25,000",2,36
3.6 3.6 3.6 3.6,4,36
4.7 4.7 4.7 4.7 4.7,5,36
49.3 48.3,2,36
6.3 6.0,2,36
6.5 6.5 6.5 6.5,4,36
6.9 6.9 6.9 6.9 6.9,5,36
61.9 60.9,2,36
62.3 62.3,2,36
62.9 61.9 60.9,3,36
63.9 62.9 61.9 60.9,4,36
82.4 81.6,2,36
accrued liability,2,36
acquisition costs,2,36
active participants,2,36
additional payment,2,36
additional time,2,36
adjustment request,2,36
administrative adjustment request,3,36
administrative proceedings,2,36
aggregate housing credit dollar amount,5,36
amount remaining,2,36
amount representing,2,36
applicable defined contribution plan,4,36
applicable elected,2,36
applicable penalties,2,36
assets owned,2,36
association property,2,36
authorized officer,2,36
average daily production,3,36
basis allocated,2,36
basis differences,2,36
basis pursuant,2,36
beneficiary association,2,36
benefited shareholders,2,36
bonds sold,2,36
business investment company,3,36
business records,2,36
cash distributions,2,36
certificate program,2,36
change consolidated,2,36
clean air,2,36
combined taxable income method,4,36
community property law,3,36
conduit entity,2,36
consecutive calendar,2,36
consistently apply,2,36
constitute agricultural,2,36
construction allowance,2,36
contemporaneous written,2,36
contributions carryover,2,36
corporate taxpayer,2,36
corporation fails,2,36
corporation partner,2,36
corporation solely,2,36
corporations filing,2,36
coverdell education,2,36
coverdell education savings,3,36
credit earned minus,3,36
cumulative basis,2,36
current availability,2,36
current life,2,36
current life insurance,3,36
current life insurance protection,4,36
custodial parent,2,36
debt instrument subject,3,36
deceased partner's,2,36
decedent dies,2,36
declared disaster,2,36
deemed exchange,2,36
deemed instruments,2,36
depository account,2,36
depreciable real property,3,36
discount includible,2,36
disparity limit,2,36
domestic substitute,2,36
double benefit,2,36
earned minus,2,36
economic hardship,2,36
education savings,2,36
elected farm,2,36
elected farm income,3,36
employee percentage,2,36
estate assets,2,36
estate mortgages,2,36
events occurring,2,36
excess reported amount,3,36
exchanges stock,2,36
expenditure test election,3,36
faith estimate,2,36
fall semester,2,36
federal district court,3,36
federal home,2,36
federal home loan,3,36
federally declared,2,36
filed separate,2,36
final internal adverse,3,36
final internal adverse benefit,4,36
final pay,2,36
fixed base,2,36
foreign corporate,2,36
gas extraction,2,36
grant funds,2,36
gross benefit percentage,3,36
gross income determined,3,36
hope scholarship credit,3,36
hypothetical transaction,2,36
include information,2,36
income accumulated,2,36
income tax treaties,3,36
indebtedness secured,2,36
individual consumers,2,36
individual market,2,36
initial deferral election,3,36
inside basis,2,36
instrument determined,2,36
insurance wages,2,36
insured medical,2,36
internal revenue officers,3,36
investment options,2,36
issue discount includible,3,36
items including,2,36
joint income,2,36
joint owner,2,36
law including extensions thereof,4,36
legally adopted,2,36
lending money,2,36
liability pursuant,2,36
limitation categories,2,36
limitation imposed,2,36
limited branch,2,36
liquids gases,2,36
live theatrical,2,36
loan means,2,36
lobbying nontaxable,2,36
local taxes,2,36
loss carryforward,2,36
loss subject,2,36
lowest tier,2,36
lubricating oil,2,36
mail stop,2,36
marginal tax,2,36
markets tax,2,36
markets tax credit,3,36
mass transit,2,36
maximum dollar,2,36
maximum penalty,2,36
maximum permitted,2,36
medical professional,2,36
medical reimbursement plan,3,36
mid quarter,2,36
mile zone,2,36
moving expense,2,36
net deduction,2,36
obligation means,2,36
occupied seat hours,3,36
occurring pursuant,2,36
original issue discount includible,4,36
owns asset,2,36
paid employees,2,36
participant attains,2,36
partner’s distributive,2,36
partner’s distributive share,3,36
partnership means,2,36
pay plan,2,36
payment rights,2,36
pension funds,2,36
period notwithstanding,2,36
permanent address,2,36
person responsible,2,36
personal injury,2,36
plan applies,2,36
plan offered,2,36
political expenditure,2,36
post termination transition,3,36
pre transaction,2,36
principal activity,2,36
production assets,2,36
production payments,2,36
profit margin,2,36
property defined,2,36
proposed suspension,2,36
public service,2,36
purchasing partnership,2,36
pursuant thereto,2,36
qjsa explanation,2,36
qualified bond,2,36
qualified intermediary withholding,3,36
qualified taxable,2,36
qualified taxes,2,36
railway labor,2,36
real estate mortgages,3,36
recapture income,2,36
record owner,2,36
record retention,2,36
redemption proceeds,2,36
reduced deduction,2,36
registration statement,2,36
remedial allocation method,3,36
reports income,2,36
resulting amount,2,36
resulting corporation,2,36
return information disclosed,3,36
return position,2,36
royalty payments,2,36
safety equipment,2,36
schedule ssa,2,36
scholarship credit,2,36
seat hours,2,36
service determines,2,36
services furnished,2,36
significant reduction,2,36
single form,2,36
single person,2,36
site employee,2,36
special method,2,36
sponsor makes,2,36
square feet,2,36
stated maturity,2,36
supporting documents,2,36
t.d 7767,2,36
t.d 8637,2,36
tax liability resulting,3,36
taxing jurisdiction,2,36
taxpayer claims,2,36
taxpayer's representative,2,36
tentative amount,2,36
term nonqualified,2,36
termination transition,2,36
test election,2,36
tier entities,2,36
total payments,2,36
transaction pursuant,2,36
transition relief,2,36
translation period,2,36
trust including,2,36
trust meets,2,36
trust receives,2,36
u.s possession,2,36
u.s source gross,3,36
unified credit,2,36
unrecovered basis,2,36
withheld taxes,2,36
0.500000 0.500000,2,35
1.1502 96a,2,35
1.8 1.7,2,35
12.5 12.5,2,35
1950 umwa,2,35
1994 issue,2,35
1t contained,2,35
2.8 2.6,2,35
2004 layer,2,35
"3,000 3,000",2,35
35a 9999,2,35
4.0 5.0 6.0 7.0 8.0 9.0,6,35
4.5 4.2,2,35
46.4 45.4,2,35
5.0 6.0 7.0 8.0 9.0,5,35
5.3 5.0,2,35
53.3 52.4,2,35
57.7 57.7,2,35
6.0 7.0 8.0 9.0,4,35
6.1 6.1 6.1 6.1,4,35
61.4 61.4 61.4,3,35
66.9 66.0,2,35
7.0 8.0 9.0,3,35
7.4 7.4 7.4 7.4,4,35
7.5 percent,2,35
8.0 9.0,2,35
8.9 9.9,2,35
account debt,2,35
accounting periods,2,35
accounting rules,2,35
acquiring corporations,2,35
actual rate,2,35
additional stock,2,35
adequately disclosed,2,35
advance ruling,2,35
age adjusted,2,35
age based,2,35
agent obtains,2,35
allocated basis,2,35
amount based,2,35
amount permitted,2,35
amounts allowed,2,35
applicable credit,2,35
april 15th,2,35
asset guideline period,3,35
assets means,2,35
association taxable,2,35
attorney's fees,2,35
attorneys fees,2,35
average percentage,2,35
average total,2,35
bank deposits,2,35
base contribution,2,35
base erosion payments,3,35
basis election,2,35
beneficial owner's,2,35
beneficially owned,2,35
benefits commencing,2,35
books papers,2,35
business entities,2,35
care expenses,2,35
cash basis taxpayer,3,35
ceiling amount,2,35
change loss,2,35
charge disc,2,35
charitable remainder trusts,3,35
charitable scientific,2,35
church plans,2,35
collection action,2,35
commissioner technical,2,35
common stock outstanding,3,35
company's share,2,35
comparable uncontrolled services,3,35
condition exclusion,2,35
considered income,2,35
constitute agricultural labor,3,35
convertible stock,2,35
corporate stock,2,35
corporation b's,2,35
coverage months,2,35
credit balance,2,35
credit claimant,2,35
currency gains,2,35
current earnings rate,3,35
deduction account,2,35
deemed transferred receivable,3,35
determining adjusted,2,35
direct relationship,2,35
distribution amount,2,35
domestic crude,2,35
domestic crude oil,3,35
ecti allocable,2,35
employee elects,2,35
employee including,2,35
employee owner,2,35
employee's annual,2,35
employee's employer,2,35
employees beneficiary association,3,35
employer's contributions,2,35
erosion payments,2,35
establish reasonable,2,35
estate activities,2,35
estate transaction,2,35
excess charitable contribution,3,35
excess net,2,35
fa stock received,3,35
factoring income,2,35
federal short,2,35
federal short term,3,35
filed federal income tax return,5,35
filing separate returns,3,35
financed entity,2,35
financing arrangements,2,35
foreign affiliates,2,35
foreign beneficial owner,3,35
foreign branches,2,35
foreign corporation organized,3,35
foreign payment,2,35
gain equal,2,35
gasoline blendstocks,2,35
giving effect,2,35
gross revenue,2,35
gross vehicle weight rating,4,35
gst trust,2,35
guidance issued,2,35
guideline period,2,35
homeowners association,2,35
hospital insurance,2,35
includible corporations,2,35
inclusion amounts,2,35
income exclusive,2,35
income expenses,2,35
indirect shareholder,2,35
individual separate,2,35
initial election,2,35
initial temporary,2,35
initial temporary period,3,35
insurance liabilities,2,35
insured medical reimbursement,3,35
intermediary flow,2,35
intermediate entities,2,35
interquartile range,2,35
investment experience,2,35
law including penalties,3,35
liability means,2,35
life consolidated,2,35
life insurance coverage,3,35
life remainder factors applicable,4,35
liquidity shortfall,2,35
loss carryover attributable,3,35
loss category,2,35
low income unit,3,35
manufacture production,2,35
manufacturing operations,2,35
market capitalization,2,35
market method,2,35
market split,2,35
market split dollar,3,35
married individuals filing,3,35
mine safety equipment,3,35
minimis test,2,35
minority shareholder,2,35
money market,2,35
motor carrier,2,35
mutual fund,2,35
net taxable income,3,35
nondepreciable real,2,35
nonqualified written notice,3,35
nonresident alien spouse,3,35
offset percentage,2,35
option stock,2,35
output facility,2,35
outstanding bonds,2,35
owned proportionately,2,35
paid prior,2,35
paper format,2,35
paragraphs contained,2,35
partner adjusted,2,35
partner adjusted basis,3,35
partner's capital account,3,35
partnership basis,2,35
partnership's assumption,2,35
party means,2,35
pay 1446,2,35
pay 1446 tax,3,35
pct payor's,2,35
percent dividends,2,35
period exceeds,2,35
permanent structures,2,35
person assigned,2,35
person owning,2,35
political expenditures,2,35
postal service,2,35
pre change loss,3,35
preretirement survivor,2,35
presumed aftap,2,35
producer's loan,2,35
properties received,2,35
property including money,3,35
property requirement,2,35
publications forms instructions,3,35
qualified check,2,35
qualified housing project,3,35
qualified scholarship,2,35
qualified total distribution,3,35
rare disease,2,35
rate component,2,35
rea 1984,2,35
real estate activities,3,35
real estate transaction,3,35
recourse liability,2,35
reduce taxable,2,35
reduce taxable income,3,35
reduced deduction limit,3,35
regular method,2,35
regulated futures contract,3,35
relative amounts,2,35
relative values,2,35
religious charitable scientific,3,35
remainder trusts,2,35
representative period,2,35
resident tax,2,35
residential purposes,2,35
residual shared employees,3,35
responsibility payment,2,35
retired employees,2,35
returns statements,2,35
roth contribution,2,35
s's assets,2,35
salary reduction agreement,3,35
service receivables,2,35
severance pay,2,35
shared employees,2,35
shared responsibility payment,3,35
shareholder’s pro,2,35
shareholder’s pro rata,3,35
single life remainder factors applicable,5,35
special fuels,2,35
specific charge,2,35
sponsoring entity's,2,35
stock attributable,2,35
stock includes,2,35
substantial influence,2,35
substantial u.s owner,3,35
surviving annuitant,2,35
tax attributes attributable,3,35
taxable income means,3,35
taxable portion,2,35
taxpayer's financial,2,35
taxpayer's property,2,35
taxpayer's request,2,35
taxpayer's share,2,35
taxpayer's timely,2,35
term cash,2,35
term post,2,35
terms requirement,2,35
theatrical production,2,35
timely filed federal income tax return,6,35
total benefits,2,35
total estimated,2,35
total indebtedness,2,35
transferor immediately,2,35
transferred loss shares,3,35
transferred receivable,2,35
trust subject,2,35
trust terminates,2,35
u.s individual,2,35
u.s office,2,35
u.s real estate,3,35
undistributed net investment,3,35
undistributed net investment income,4,35
undistributed portion,2,35
unemployment insurance wages,3,35
united kingdom,2,35
upfront payment,2,35
vehicle weight rating,3,35
waiver certificate,2,35
withholding foreign trust,3,35
written paper,2,35
x's shareholders,2,35
yield restricted,2,35
1.7 1.6,2,34
1986 taxable,2,34
"2,000 2,000",2,34
2.3 2.1 1.9 1.7 1.5 1.3,6,34
2.5 2.3 2.1 1.9 1.7,5,34
2.5 2.3 2.1 1.9 1.7 1.5,6,34
2.6 2.6,2,34
2.7 2.5 2.3 2.1,4,34
2.7 2.7 2.7 2.7 2.7 2.7,6,34
2.9 2.7 2.5 2.3,4,34
2010 taxable,2,34
3.7 3.7,2,34
4.7 4.5,2,34
51.4 50.4,2,34
56.2 55.3,2,34
63.0 62.1,2,34
63.2 63.2,2,34
7520 rate,2,34
76.7 75.8,2,34
8.9 8.9 8.9 8.9,4,34
account established,2,34
acquired directly,2,34
acquired macrs,2,34
acquired macrs property,3,34
active income,2,34
activities carried,2,34
actual benefit,2,34
actual contribution,2,34
actual ownership,2,34
actuarial tables,2,34
ages male,2,34
agreements entered,2,34
alternative definition,2,34
amortize bond premium,3,34
amount expended,2,34
annuity contract purchased,3,34
applies solely,2,34
asset proceeds,2,34
assets liabilities,2,34
average life,2,34
average pay,2,34
bankruptcy proceeding,2,34
benefits commence,2,34
bona fide debt service,4,34
book capital account,3,34
borrowed funds,2,34
bulk transfer,2,34
business discussion,2,34
calculation time,2,34
capitalized costs,2,34
carry forward,2,34
cash contribution,2,34
cfr 2530.200b,2,34
charitable contributions carryover,3,34
chauffeur services,2,34
church controlled,2,34
closing transaction,2,34
combined separate unit,3,34
completed gift,2,34
component trade,2,34
computed income,2,34
consistency period,2,34
consolidated return change,3,34
consolidated tax liability,3,34
continuing care,2,34
corporate business purpose,3,34
corporation's manufacturing,2,34
corporation's manufacturing business,3,34
corrected statement,2,34
cost sharing method,3,34
coverage means,2,34
credit cards,2,34
credit carryforwards,2,34
credit certificate program,3,34
current basis,2,34
customs custody,2,34
de minimis test,3,34
death disability,2,34
debt level,2,34
deduction allocable,2,34
deductions credits,2,34
deductions disallowed,2,34
deficiency dividend deduction,3,34
designated distributions,2,34
discretionary authority,2,34
dividend distributions,2,34
dollar basis,2,34
domestic substitute agent,3,34
eligible automatic contribution arrangement,4,34
eligible student,2,34
employer health,2,34
employment performed,2,34
enhanced oil recovery costs,4,34
equity option,2,34
estates terms,2,34
excess liabilities assumed,3,34
existing external,2,34
facie evidence,2,34
federal short term rate,4,34
female ages,2,34
female ages male,3,34
fide debt service,3,34
filing return,2,34
financed income,2,34
foam insulation,2,34
foreign corporation received,3,34
foreign currency gains,3,34
foreign jurisdiction,2,34
foreign taxable income,3,34
form 1040nr,2,34
form 8288,2,34
formula benefit,2,34
future redemptions,2,34
gain included,2,34
gain required,2,34
gift bequest,2,34
grandfathered amount,2,34
group's consolidated return,3,34
holds directly,2,34
housing expenses,2,34
imported mismatch payee,3,34
imputed principal,2,34
imputed principal amount,3,34
incidental expenses,2,34
income excluding,2,34
income includible,2,34
income tax law,3,34
indebtedness owed,2,34
indirect partners,2,34
individual employer,2,34
individual's family,2,34
industrial park,2,34
information contact,2,34
information statements,2,34
information sufficient,2,34
initial public,2,34
intangible development costs,3,34
intercompany income,2,34
investment based,2,34
investment entities,2,34
investment proceeds,2,34
joint income tax,3,34
joint owners,2,34
law practice,2,34
lien filed,2,34
life estates terms,3,34
life insurance business,3,34
loss cfc,2,34
loss limitation,2,34
male female ages,3,34
male female ages male,4,34
maximum tax,2,34
measuring lives,2,34
medical care expenses,3,34
mismatch payee,2,34
modification occurs,2,34
monthly installments,2,34
mortgage credit certificate program,4,34
net item,2,34
nominal share,2,34
nonaccount balance plan,3,34
noncollectively bargained employees,3,34
nondepreciable real property,3,34
nonseparately computed,2,34
nontax portion,2,34
objective rate,2,34
october currency,2,34
october currency loss,3,34
offering price,2,34
oil recovery costs,3,34
option holder,2,34
outstanding voting,2,34
p's gross income,3,34
participant's benefits,2,34
participating employer,2,34
partnership distributes,2,34
partnership nonrecourse,2,34
period september,2,34
periodic adjustments,2,34
permitted disparity limit,3,34
plan determines,2,34
plan imposes,2,34
post october currency,3,34
post october currency loss,4,34
pre change consolidated,3,34
predominant operations,2,34
preexisting condition exclusion,3,34
preferred return,2,34
premium acquisition,2,34
preretirement survivor annuity,3,34
prima facie evidence,3,34
pro rata partial,3,34
pro rata partial principal,4,34
property constitutes,2,34
proportional rental,2,34
prototype plan,2,34
provide consideration,2,34
purchase agreement,2,34
purchasing corporation's,2,34
qi wp,2,34
qualified enhanced oil recovery costs,5,34
qualified fuel,2,34
qualified sponsorship payment,3,34
rata partial,2,34
rata partial principal,3,34
real property includes,3,34
recapture account,2,34
receives notice,2,34
recovery costs,2,34
regularly sells,2,34
regulatory authority,2,34
remaining excess basis,3,34
rental real estate activities,4,34
reserved t.d,2,34
restoration payment schedule,3,34
return change,2,34
return means,2,34
rigid foam insulation,3,34
risks incurred,2,34
sells property,2,34
separate net operating loss,4,34
service cost,2,34
services covered,2,34
shareholder's basis,2,34
sharing method,2,34
shelter registration,2,34
significant amount,2,34
sponsorship payment,2,34
stock constructively,2,34
subsidiary company,2,34
suspension period,2,34
tax matter,2,34
tax shelter registration,3,34
tax shelters,2,34
taxable articles,2,34
taxable corporation,2,34
taxable expenditures,2,34
taxpayer claiming,2,34
taxpayer demonstrates,2,34
taxpayer meets,2,34
taxpayer's cost,2,34
taxpayer's net,2,34
taxpayer's timely filed,3,34
taxpayer’s taxable,2,34
term base,2,34
term capital loss carryover,4,34
term covered,2,34
term passive,2,34
tested loss cfc,3,34
toll telephone service,3,34
"transfers 100,000",2,34
transportation service,2,34
triggering transaction,2,34
twelve month period,3,34
u.s sources,2,34
u.s virgin,2,34
u.s virgin islands,3,34
underlying securities,2,34
unspecified method,2,34
withholding obligations,2,34
wraparound coverage,2,34
1.2 1.1,2,33
1.7 1.5 1.3 1.2,4,33
1.7 1.5 1.3 1.2 1.0,5,33
10.0 10.0 10.0 10.0,4,33
11.8 11.8,2,33
1967 t.d,2,33
1981 t.d,2,33
1987 foreign,2,33
2.7 2.5 2.3 2.1 1.9,5,33
3.4 3.2,2,33
3.9 3.9 3.9 3.9 3.9 3.9,6,33
4.1 3.9,2,33
4.5 4.2 4.0,3,33
47.3 46.4,2,33
5.3 5.3 5.3 5.3 5.3 5.3,6,33
5.7 5.7 5.7 5.7 5.7,5,33
50.2 49.3,2,33
53.3 52.4 51.4,3,33
57.2 56.2,2,33
58.6 58.6,2,33
62.3 62.3 62.3,3,33
63.0 62.1 61.1,3,33
63.0 62.1 61.1 60.1,4,33
64.8 63.9,2,33
66.9 66.0 65.0,3,33
66.9 66.0 65.0 64.0,4,33
71.8 70.8,2,33
accounting practices,2,33
accumulated adjustments,2,33
accumulated adjustments account,3,33
activities income,2,33
adjusted gross insurance,3,33
adjusted pursuant,2,33
adjustments account,2,33
adjustments resulting,2,33
affiliated domestic owner,3,33
affiliated service,2,33
aggregate adjusted bases,3,33
agricultural products,2,33
allocated ratably,2,33
amounts deemed distributed,3,33
annual account net gain,4,33
annual dollar,2,33
annuity plans,2,33
applicable health,2,33
applicable health benefits,3,33
applicable u.s,2,33
approval requirements,2,33
assets asset,2,33
assets attributable,2,33
assets pursuant,2,33
assistant commissioner technical,3,33
attributable inside,2,33
attributable inside gain,3,33
audited financial,2,33
automatic allocation rules,3,33
base contribution percentage,3,33
benefit improvement,2,33
benefit minimum,2,33
benefitted property,2,33
bona fide business oriented,4,33
bona fide business oriented security,5,33
bonus plans,2,33
broker dealer,2,33
brother sister controlled,3,33
business oriented,2,33
business oriented security,3,33
ceding company,2,33
certificate issued,2,33
charitable deduction property,3,33
class subject,2,33
classification test,2,33
combined gross,2,33
combining entity,2,33
compensation based,2,33
condition set,2,33
considered reasonable,2,33
consolidated reporting statement,3,33
constitute gross income,3,33
constructively owns,2,33
contraceptive services,2,33
covered asset,2,33
d's basis,2,33
debt financed income,3,33
deceased employee,2,33
deferred annuity,2,33
defined benefit minimum,3,33
designated summons,2,33
detailed report,2,33
determining gross,2,33
discount coupons,2,33
divided equally,2,33
dt2 acquisition,2,33
elected representative,2,33
election campaign,2,33
election referred,2,33
eligible participant,2,33
employee performs services,3,33
employee receiving,2,33
employees eligible,2,33
employees offered,2,33
employer wide basis,3,33
endowment contracts,2,33
entire gain,2,33
equal annual installments,3,33
estimated cost,2,33
evidence supporting,2,33
exact amount,2,33
"exceeds 100,000",2,33
excess depreciation,2,33
excess inclusions,2,33
excess profits taxes paid,4,33
exempt functions,2,33
expenses directly,2,33
f's taxable,2,33
factors including,2,33
federal claims,2,33
fide business oriented,3,33
fide business oriented security,4,33
fifo inventory,2,33
filed separate returns,3,33
final partnership adjustment,3,33
financial projections,2,33
fixed dollar,2,33
floor stocks tax imposed,4,33
foreign entities,2,33
foreign investment attributable,3,33
foreign tin,2,33
form 7004,2,33
functionally integrated,2,33
funding improvement plan,3,33
gain capital,2,33
gain capital gain,3,33
gain capital gain net,4,33
gain capital gain net income,5,33
government agency,2,33
grantor portion,2,33
group's consolidated taxable,3,33
group's consolidated taxable income,4,33
health maintenance organization,3,33
hybrid deduction account,3,33
identification requirements,2,33
improvement plan,2,33
imputed compensation,2,33
imputed service,2,33
income cfc's,2,33
incorrect information,2,33
incurs costs,2,33
indirect owner,2,33
indirectly stock,2,33
inflation indexed debt instrument,4,33
information technology,2,33
insurance commissioners,2,33
insurance corporation,2,33
insured medical reimbursement plan,4,33
intermediary ownership,2,33
legal residence,2,33
legal separation,2,33
liability attributable,2,33
liability imposed,2,33
lieu thereof,2,33
life insurance policies,3,33
light duty,2,33
limitation determined,2,33
line depreciation,2,33
liquidating distributions,2,33
liquidation proceeds,2,33
live theatrical production,3,33
loss allocation,2,33
loss deductions,2,33
loss group's,2,33
losses deductions,2,33
maintenance organization,2,33
major party,2,33
management services,2,33
mental disability,2,33
mid quarter convention,3,33
mineral product,2,33
minimum investment,2,33
modification agreement,2,33
month amortization,2,33
mortgage pool,2,33
national association,2,33
nearest dollar,2,33
negative amount,2,33
net active,2,33
net active income,3,33
normal business,2,33
office mail,2,33
operating contributions,2,33
oriented security,2,33
original credit,2,33
original credit earned,3,33
partial principal payments,3,33
participating payee,2,33
partner beneficiary,2,33
partnership income gain,3,33
partnership income gain loss,4,33
partnership pursuant,2,33
passthru payment,2,33
payor's country,2,33
period set,2,33
plan defined,2,33
plan sponsor makes,3,33
policy period,2,33
positive investment,2,33
pre disqualification,2,33
price readjustment,2,33
producing stage,2,33
production activities income,3,33
profits taxes paid,3,33
properly filed,2,33
property occurs,2,33
provide coverage,2,33
public school,2,33
public support,2,33
qualified contract,2,33
qualified education loans,3,33
qualified production activities income,4,33
qualified retirement plan,3,33
qualified u.s person,3,33
qualifying disposition,2,33
qualifying qof stock,3,33
quarter convention,2,33
ratable daily,2,33
real property including,3,33
realized attributable,2,33
reasonable expenses,2,33
received directly,2,33
receives compensation,2,33
receives property,2,33
reduced pursuant,2,33
remainder beneficiaries,2,33
remaining gain,2,33
remains subject,2,33
residence basis,2,33
respective shares,2,33
s's aggregate inside,3,33
s's aggregate inside loss,4,33
s's intercompany gain,3,33
s's intercompany item,3,33
secondary market,2,33
seeking qualified,2,33
separate debt instrument,3,33
shareholder’s pro rata share,4,33
single account election,3,33
sister controlled,2,33
sixth taxable,2,33
special treatment,2,33
specific rules,2,33
spot rates,2,33
stock constructively owned,3,33
stock ownership test,3,33
stocks tax imposed,3,33
straight life annuity payable,4,33
straight line depreciation,3,33
study period,2,33
substantial investment,2,33
synthetic dollar,2,33
tax amounts,2,33
tax employee,2,33
tax results,2,33
taxes required,2,33
taxpayer's books,2,33
taxpayer's federal income tax return,5,33
td 9564,2,33
term affiliated,2,33
term business,2,33
term deferral,2,33
term qualified business,3,33
term withholding agent,3,33
termination assessments,2,33
testing price,2,33
theoretical reserve,2,33
total payment,2,33
transaction immediately,2,33
transfers subject,2,33
transit system,2,33
treated pursuant,2,33
treated separately,2,33
trust ceases,2,33
u.s citizenship,2,33
u.s individual income,3,33
u.s individual income tax,4,33
u.s individual income tax return,5,33
u.s parent,2,33
unallocated basis,2,33
understatement due,2,33
units sold,2,33
voluntary employee,2,33
voluntary employees beneficiary association,4,33
voting common,2,33
wages received,2,33
withheld pursuant,2,33
written paper document,3,33
x's income,2,33
y's qpai,2,33
1.3 1.1 1.0,3,32
"10,000 4,000",2,32
"10,000 5,000",2,32
11.2 11.2 11.2 11.2,4,32
1545 0029,2,32
1960 redesignated,2,32
1962 t.d,2,32
1963 1964,2,32
1984 account,2,32
1987 foreign income,3,32
1987 foreign income taxes,4,32
"2,000 10,000",2,32
2.9 2.7 2.5 2.3 2.1,5,32
2007 taxable,2,32
3.1 2.9 2.7 2.5 2.3,5,32
3.2 3.0,2,32
4.4 4.4 4.4 4.4 4.4 4.4,6,32
45.6 44.6,2,32
5.0 6.0 7.0 8.0 9.0 10.0,6,32
5.6 5.3,2,32
52.4 51.4 50.4,3,32
53.1 52.2,2,32
53.3 52.4 51.4 50.4,4,32
56.2 55.3 54.3,3,32
57.2 56.2 55.3,3,32
57.2 56.2 55.3 54.3,4,32
57.7 57.7 57.7,3,32
6.0 7.0 8.0 9.0 10.0,5,32
61.4 61.4 61.4 61.4,4,32
64.8 63.9 62.9,3,32
64.8 63.9 62.9 61.9,4,32
64.8 63.9 62.9 61.9 60.9,5,32
65.8 64.8,2,32
65.8 64.8 63.9,3,32
65.8 64.8 63.9 62.9,4,32
65.8 64.8 63.9 62.9 61.9,5,32
65.8 64.8 63.9 62.9 61.9 60.9,6,32
66.8 65.8 64.8,3,32
66.8 65.8 64.8 63.9,4,32
66.8 65.8 64.8 63.9 62.9,5,32
66.8 65.8 64.8 63.9 62.9 61.9,6,32
7.0 8.0 9.0 10.0,4,32
76.7 75.8 74.8,3,32
76.7 75.8 74.8 73.8,4,32
8.0 9.0 10.0,3,32
80.6 79.7,2,32
9.0 10.0,2,32
a1 a2,2,32
acquiring stock,2,32
acquisition period,2,32
active business assets,3,32
activity conducted,2,32
activity performed,2,32
actual direct,2,32
actual ratio,2,32
additional premium,2,32
adjusted gross insurance income,4,32
affiliated plan,2,32
aggregate current,2,32
aggregate principal amount,3,32
aggregate unused,2,32
american aircraft,2,32
amortization installment,2,32
amounts credited,2,32
annual income,2,32
annuity form,2,32
anticipated cost,2,32
applicable distribution,2,32
applicable elected representative,3,32
applied burdens,2,32
arrangement satisfies,2,32
b's estate,2,32
basis equal,2,32
benefit increase,2,32
blended taxable,2,32
blended taxable fuel,3,32
bond yield,2,32
business capital,2,32
business practice,2,32
business undertakings,2,32
capital assets held,3,32
capital gain capital,3,32
capital gain capital gain,4,32
capital gain capital gain net,5,32
capital gain capital gain net income,6,32
cash remuneration paid,3,32
certificates issued,2,32
certified copy,2,32
charitable purpose,2,32
class vii,2,32
combined absorption,2,32
compensated employee percentage,3,32
compensation cost,2,32
compensatory amount,2,32
computational rules,2,32
computing adjusted gross,3,32
considered terminated,2,32
constitutes foreign base company income,5,32
contractual obligation,2,32
conversion contribution,2,32
corporation accumulated,2,32
corporation seeking qualified,3,32
corporation's subpart,2,32
corporations subject,2,32
cost shared intangible,3,32
current market,2,32
de minimis fringe,3,32
death taxes paid,3,32
debt allocated,2,32
debt service fund,3,32
deduction accounts,2,32
deductions properly allocable,3,32
deferred deduction,2,32
deferred tax,2,32
depletion pursuant,2,32
depreciation depletion,2,32
derivative financial,2,32
derived accrued benefit,3,32
disability extension,2,32
discount rates,2,32
dispersion table,2,32
distribute corpus,2,32
distribution paid,2,32
domestic corporation's,2,32
domestic trusts,2,32
dosage form drug,3,32
downstream partnership,2,32
dwelling units,2,32
electronic mail,2,32
eligibility criteria,2,32
eligible partner's,2,32
employee's relationship,2,32
employee's services,2,32
employees hired,2,32
employer b's,2,32
employer derived accrued benefit,4,32
employer security,2,32
endangered status,2,32
energy efficient,2,32
estate mortgage,2,32
evade tax,2,32
exact method,2,32
excluded income,2,32
exempt construction,2,32
expected return multiples,3,32
